Pollster,Commissioner,APC_compliant,PublicationDate,FieldedStart,FieldedEnd,Fielded_Days,Method,SampleSize,EffectiveSampleSize,MarginOfError,2PP_calc_method,LNP,ALP,GRN,PHON,UAP,OTHER,UND,ALP_2PP,LNP_2PP,ALP_2PPplus_Essential,LNP_2PPplus_Essential,UND_2PPplus_Essential,DisclosureStatement,OriginalStory,Notes,,Link,Link 2
Resolve,Fairfax/Nine,No,21/4/2021,9/4/2021,15/4/2021,7,Online/Phone,2006,,2.2,Not reported,38,33,12,6,,11,,,,,,,,https://www.smh.com.au/politics/federal/voters-back-coalition-to-manage-the-pandemic-but-labor-on-healthcare-20210420-p57kva.html,400 voters over the phone and another 1606 voters online,,,
Resolve,Fairfax/Nine,No,18/5/2021,12/5/2021,16/5/2021,5,Online,1622,,2.5,Not reported,39,35,12,2,,13,,,,,,,,https://www.smh.com.au/politics/federal/voters-warn-scott-morrison-not-to-rush-to-an-early-election-20210517-p57sqe.html,,,,
Resolve,Fairfax/Nine,No,15/6/2021,8/6/2021,12/6/2021,5,Online,1600,,2.5,Not reported,40,36,10,3,,12,,,,,,,,https://www.smh.com.au/politics/federal/vaccine-rollout-stumbles-lead-to-slight-drop-in-support-for-coalition-20210614-p580yp.html,,,,
Resolve,Fairfax/Nine,No,21/7/2021,14/7/2021,17/7/2021,4,Online,1607,,2.5,Not reported,38,35,12,4,,12,,,,,,,,https://www.smh.com.au/politics/federal/narrow-majority-of-voters-wants-lockdowns-phased-out-as-vaccination-rate-grows-20210720-p58bbs.html,,,,
Resolve,Fairfax/Nine,No,24/8/2021,17/8/2021,21/8/2021,5,Online,1607,,2.5,Not reported,40,32,12,2,,13,,,,,,,,https://www.smh.com.au/politics/federal/coalition-gains-on-pandemic-management-as-morrison-holds-ground-labor-vote-falls-20210823-p58lan.html,,,,
Resolve,Fairfax/Nine,No,21/9/2021,15/9/2021,19/9/2021,5,Online,1606,,2.5,Not reported,39,31,10,4,,16,,,,,,,,https://www.smh.com.au/politics/federal/morrison-holds-lead-but-albanese-narrows-the-gap-as-preferred-prime-minister-20210921-p58tda.html,,,,
Resolve,Fairfax/Nine,No,26/10/2021,21/10/2021,24/10/2021,4,Online,1603,,2.5,Not reported,37,34,11,3,,14,,,,,,,,https://www.smh.com.au/politics/federal/coalition-support-weakened-by-nationals-climate-policy-disagreement-20211025-p592wt.html,,,,
Resolve,Fairfax/Nine,No,23/11/2021,16/11/2021,21/11/2021,6,Online,1606,,2.5,Not reported,39,32,11,3,,14,,,,,,,,https://www.smh.com.au/politics/federal/scott-morrison-loses-ground-but-coalition-gains-in-latest-survey-20211122-p59b6y.html,,,,
Resolve,Fairfax/Nine,No,18/1/2022,11/1/2022,15/1/2022,5,Online,1607,,2.5,Not reported,34,35,11,3,,17,,,,,,,,https://www.smh.com.au/politics/federal/coalition-primary-vote-drops-below-labor-s-for-the-first-time-resolve-survey-20220117-p59orf.html,,,,
Resolve,Fairfax/Nine,No,22/2/2022,15/2/2022,20/2/2022,6,Online,1604,,2.5,Not reported,33,35,10,3,,19,,,,,,,,https://www.smh.com.au/politics/federal/voters-cut-support-for-scott-morrison-following-debate-about-national-security-leadership-20220221-p59yc8.html,,,,
Roy Morgan,Roy Morgan,No,29/3/2022,21/3/2022,27/3/2022,7,Online/Phone,1404,,,Respondent allocated,33,35.5,12.5,3.5,1,14.5,,55.5,44.5,,,,,https://www.roymorgan.com/findings/8927-federal-voting-intention-final-week-of-march-2022-202203290357,,,,
Roy Morgan,Roy Morgan,No,22/3/2022,14/3/2022,20/3/2022,7,Online/Phone,1418,,,Respondent allocated,31,37.5,12,3,1,15.5,,58,42,,,,,https://www.roymorgan.com/findings/8922-federal-voting-intention-mid-march-2022-202203211033,,,,
Roy Morgan,Roy Morgan,No,16/3/2022,3/3/2022,13/3/2022,11,Online/Phone,30/4/1905,,,Respondent allocated,33.5,37,11.5,3,1,13.5,5.5,56,44,,,,,https://www.roymorgan.com/findings/8917-federal-voting-intention-mid-march-2022-202203160002,,,,
Roy Morgan,Roy Morgan,No,3/3/2022,24/2/2022,2/3/2022,7,Online/Phone,1141,,,Respondent allocated,34,37.5,11.5,3.5,1,12.5,,56.5,43.5,,,,,https://www.roymorgan.com/findings/8916-roy-morgan-poll-federal-voting-intention-march-2022-202203030153,,,,
Roy Morgan,Roy Morgan,No,1/3/2022,14/2/2022,23/2/2022,10,Online/Phone,2261,,2.1,Respondent allocated,32.5,37.5,12.5,3.5,1.5,12.5,6.5,56.5,43.5,,,,,https://www.roymorgan.com/findings/8914-federal-voting-intention-february-2022-pre-ukraine-war-202203010358,,,,
Roy Morgan,Roy Morgan,No,18/2/2022,31/1/2022,13/2/2022,14,Online/Phone,2796,,1.9,Respondent allocated,33,38.5,11.5,4,1.5,11.5,,57,43,,,,,https://www.roymorgan.com/findings/8913-federal-voting-intention-february-2022-202202211048,,,,
Roy Morgan,Roy Morgan,No,3/2/2022,17/1/2022,30/1/2022,14,Online/Phone,2783,,1.9,Respondent allocated,33,37.5,11.5,3.5,2,12.5,,56.5,43.5,,,,,https://www.roymorgan.com/findings/8893-federal-voting-intention-january-2022-202202061414,,,,
Roy Morgan,Roy Morgan,No,20/1/2022,4/1/2022,16/1/2022,13,Online/Phone,2791,,1.9,Respondent allocated,34.5,37,12,3,0.5,13,,56,44,,,,,https://www.roymorgan.com/findings/8879-federal-voting-intention-january-2022-202201200425,,,,
Roy Morgan,Roy Morgan,No,,11/12/2021,19/12/2021,9,Online/Phone,,,,Respondent allocated,34.5,37,11.5,4,,13,,55.5,44.5,,,,,https://www.roymorgan.com/morganpoll/federal-voting/primary-voting-intention-recent-2016-2022,Poll is reported in Roy Morgan data tables but there does not appear to be a corresponding detailed release from the time,,,
Roy Morgan,Roy Morgan,No,10/12/2021,27/11/2021,5/12/2021,9,Online/Phone,2805,,1.9,Respondent allocated,34.5,36,12.5,3.5,1,12.5,,56.5,43.5,,,,,https://www.roymorgan.com/findings/8878-federal-voting-intention-december-2021-202112092249,,,,
Roy Morgan,Roy Morgan,No,25/11/2021,13/11/2021,21/11/2021,9,Online/Phone,2795,,1.9,Respondent allocated,35.5,35.5,12,3.5,,13.5,,55.5,44.5,,,,,https://www.roymorgan.com/findings/8862-federal-voting-intention-november-2021-202111250505,,,,
Roy Morgan,Roy Morgan,No,11/11/2021,30/10/2021,7/11/2021,9,Online/Phone,2723,,1.9,Respondent allocated,36.5,35,11.5,3,,14,,53.5,46.5,,,,,https://www.roymorgan.com/findings/8852-federal-voting-intention-november-2021-202111101441,,,,
Roy Morgan,Roy Morgan,No,27/10/2021,16/10/2021,24/10/2021,9,Online/Phone,2778,,1.9,Respondent allocated,36.5,35,13.5,3.5,,11.5,,54,46,,,,,https://www.roymorgan.com/findings/8832-federal-voting-intention-october-2021-202110270611,,,,
Roy Morgan,Roy Morgan,No,12/10/2021,2/10/2021,9/10/2021,8,Online/Phone,2794,,1.9,Respondent allocated,37.5,36,11.5,3,,12,,53,47,,,,,https://www.roymorgan.com/findings/8828-federal-voting-intention-october-2021-202110120319,,,,
Roy Morgan,Roy Morgan,No,30/9/2021,18/9/2021,26/9/2021,9,Online/Phone,2752,,1.9,Respondent allocated,36,36,12.5,3.5,,12,,54,46,,,,,https://www.roymorgan.com/findings/8808-federal-voting-intention-september-2021-202109290458,,,,
Roy Morgan,Roy Morgan,No,14/9/2021,4/9/2021,12/9/2021,9,Online/Phone,2753,,1.9,Respondent allocated,38.5,35,13,3,,10.5,,52.5,47.5,,,,,https://www.roymorgan.com/findings/8802-federal-voting-intention-september-2021-202109140632,,,,
Roy Morgan,Roy Morgan,No,1/9/2021,21/8/2021,29/8/2021,9,Online/Phone,2735,,1.9,Respondent allocated,37.5,38.5,11.5,3,,9.5,,54.5,45.5,,,,,https://www.roymorgan.com/findings/8782-federal-voting-intention-september-2021-202109010638,,,,
Roy Morgan,Roy Morgan,No,18/8/2021,7/8/2021,15/8/2021,9,Online/Phone,2747,,1.9,Respondent allocated,37.5,37.5,12.5,3.5,,9,,54,46,,,,,https://www.roymorgan.com/findings/8778-federal-voting-intention-august-2021-202108180625,,,,
Roy Morgan,Roy Morgan,No,4/8/2021,24/7/2021,1/8/2021,9,Online/Phone,2709,,1.9,Respondent allocated,37,37,12.5,3,,10.5,,53.5,46.5,,,,,https://www.roymorgan.com/findings/8766-federal-voting-intention-august-2021-202108040631,,,,
Roy Morgan,Roy Morgan,No,23/7/2021,10/7/2021,18/7/2021,9,Online/Phone,2737,,1.9,Respondent allocated,39,37,11.5,3,,9.5,,52.5,47.5,,,,,https://www.roymorgan.com/findings/8756-federal-voting-intention-july-2021-202107230640,,,,
Roy Morgan,Roy Morgan,No,23/6/2021,12/6/2021,20/6/2021,9,Online/Phone,2782,,1.9,Respondent allocated,41.5,34.5,12,3.5,,8.5,,50.5,49.5,,,,,https://www.roymorgan.com/findings/8736-federal-voting-intention-june-2021-202106230548,,,,
Roy Morgan,Roy Morgan,No,9/6/2021,29/5/2021,6/6/2021,9,Online/Phone,2817,,1.9,Respondent allocated,40,35.5,11.5,3,,10,,50.5,49.5,,,,,https://www.roymorgan.com/findings/8726-federal-voting-intention-june-2021-202106090557,,,,
Roy Morgan,Roy Morgan,No,16/3/2021,6/3/2021,14/3/2021,9,Online/Phone,2747,,1.9,Respondent allocated,41,34.5,12.5,2.5,,9.5,,50.5,49.5,,,,,https://www.roymorgan.com/findings/8662-federal-voting-intention-march-2021-202103160505,,,,
Roy Morgan,Roy Morgan,No,19/2/2021,6/2/2021,14/2/2021,9,Online/Phone,2786,,1.9,Respondent allocated,40,34.5,13,3.5,,9,,50.5,49.5,,,,,https://www.roymorgan.com/findings/8648-federal-voting-intention-february-2021-202102181348,,,,
Roy Morgan,Roy Morgan,No,24/11/2020,14/11/2020,22/11/2020,9,Online/Phone,2824,,1.9,Respondent allocated,42,34,12,4,,8,,49.5,50.5,,,,,https://www.roymorgan.com/findings/8581-roy-morgan-poll-federal-voting-intention-november-2020-202011230922,,,,
Roy Morgan,Roy Morgan,No,,17/10/2020,25/10/2020,9,Online/Phone,,,,Respondent allocated,42.5,34,12,4,,7.5,,49.5,50.5,,,,,https://www.roymorgan.com/morganpoll/federal-voting/primary-voting-intention-recent-2016-2022,Poll is reported in Roy Morgan data tables but there does not appear to be a corresponding detailed release from the time,,,
Roy Morgan,Roy Morgan,No,21/8/2020,8/8/2020,16/8/2020,9,Online/Phone,2841,,1.9,Respondent allocated,46,32.5,11,3,,7.5,,46,54,,,,,https://www.roymorgan.com/findings/8498-l-np-government-ahead-covid-19-second-wave-august-2020-202008210142,,,,
Roy Morgan,Roy Morgan,No,24/7/2020,11/7/2020,19/7/2020,9,Online/Phone,2589,,1.9,Respondent allocated,43.5,33.5,11,2.5,,9.5,,48.5,51.5,,,,,https://www.roymorgan.com/findings/8474-l-np-government-ahead-covid-19-second-wave-july-2020-202007240519,Preferences allocated by previous election preference flows: 51/49,,,
Roy Morgan,Roy Morgan,No,25/6/2020,13/6/2020,21/6/2020,9,Online/Phone,2593,,1.9,Respondent allocated,42.5,34.5,10.5,4,,8.5,,49.5,50.5,,,,,https://www.roymorgan.com/findings/8454-l-np-government-ahead-prior-to-eden-monaro-byelection-june-2020-202006250226,,,,
Roy Morgan,Roy Morgan,No,,16/5/2020,24/5/2020,9,Online/Phone,,,,Respondent allocated,44.5,33,11,3.5,,8,,47.5,52.5,,,,,https://www.roymorgan.com/morganpoll/federal-voting/primary-voting-intention-recent-2016-2022,Poll is reported in Roy Morgan data tables but there does not appear to be a corresponding detailed release from the time. Preferences allocated by previous election preference flows: 53/47,,,
Roy Morgan,Roy Morgan,No,28/4/2020,18/4/2020,26/4/2020,9,Online/Phone,2806,,1.9,Respondent allocated,43.5,33,11.5,3,,9,,48.5,51.5,,,,,https://www.roymorgan.com/findings/8389-l-np-government-support-jumps-as-australia-responds-to-covid-19-april-2020-202004280405,,,,
Roy Morgan,Roy Morgan,No,,28/2/2020,8/3/2020,10,Online/Phone,,,,Respondent allocated,36.5,36,11,4,,12.5,,53,47,,,,,https://www.roymorgan.com/morganpoll/federal-voting/primary-voting-intention-recent-2016-2022,Poll is reported in Roy Morgan data tables but there does not appear to be a corresponding detailed release from the time. Preferences allocated by previous election preference flows: 47.5/52.5,,,
